65.節節退讓 藍營內訌 「要退讓就不要讓我們在前面打架」,陸生來台三法從原本藍綠激烈對抗，演變成藍營內訌，讓修法增添變數。朝野協商初步共識將「一限二不」入法，國民黨團節節敗退，藍營連限制陸生打工也擬退讓入法，不但府方緊急關切，連國民黨立委也不滿，質疑在委員會,2010-08-15,"['入法', '立委', '陸生來', '台三法', '藍綠']"
66.陸生法一限二不 打工禁令未入法,立法院臨時會朝野協商初步同意，將「一限二不」入法，即「限制採認陸生醫事學歷」、「不允許陸生就讀涉及軍警國安系所」、「不允許陸生考照」納入大學法及專科學校法修正案，教育部表示，立法院臨時會若通過陸生三法,2010-08-15,"['陸生', '臨時會', '立法院', '協商', '一限二']"
67.ECFA今表決 藍綠各表可解套,立法院今天將召開臨時會，處理第一案就是兩岸經濟協議（ＥＣＦＡ）。據透露，朝野絞盡腦汁協商後，今天將「連續表決十六次」，然後雙方各自表述，藍營可解讀為「全案表決」，綠營也可解讀為「逐條表決」。 立法院昨天,2010-08-15,"['表決', '立法院', '全案', '十六次', '將召']"
68.陸生來台 「一限二不」入法？,藍綠為陸生來台三法連連幹架，昨天朝野協商時，藍營遞出「三限六不」部分可入法的橄欖枝，換取綠營不強力杯葛；教育部也配合提出「一限二不」入法，即限制採認陸生醫事學歷、不允許就讀涉及國安的系所、不允許考照。,2010-08-15,"['入法', '不允許', '杯葛', '藍綠為', '陸生來']"
69.模糊處理 綠見好就收,立法院今天召開本次休會期間的第二次臨時會，在朝野互相讓步、各自表述下，如無意外，爭議許久的兩岸經濟協議（ＥＣＦＡ）可望完成二讀程序，過了立法院這關。 ＥＣＦＡ進入立法院朝野攻防之後，首先就遇到協議如何「,2010-08-15,"['立法院', '協議', '朝野', '召開', '休會']"
70.台商迂迴避稅 難囉,劉芳榮 （上海富蘭德林會計師事務所總經理） 2008年新企業所得稅法剛公布時，曾寫明若外商投資企業境外母公司為香港公司，則年度利潤匯出稅率可從10%降低為5%；但到2009年10月，國稅總局又公布601號文《關於如何理解,2010-08-15,"['企業', '劉芳榮', '富蘭', '會計師', '事務']"
71.裕隆大陸廠 明年投產,裕隆（2201）轉投資大陸東風裕隆汽車計畫箭在弦上，在取得登陸生產批文後，裕隆昨（17）日召開臨時董事會，通過東風裕隆設立案，裕隆大陸計畫即將啟動，旗下自主品牌納智捷汽車即將攻佔大陸市場、擴大產能規模。 裕隆,2010-08-15,"['裕隆', '東風', '汽車', '計畫', '2201']"
72.台灣何須害怕開門,立法院臨時會昨天表決通過ECFA，過程冗長，但結果堪稱順利。立法院的一小步，台灣的一大步，總算在區域經濟裡打開一扇門。民進黨在審議過程最後，以拒絕投票表示杯葛，但抗議的姿態已經顯得很軟弱。下一個議題戰場要,2010-08-15,"['過程', '立法院', '杯葛', '臨時會', '表決']"
73.央視播出立院通過ECFA,立法院昨天晚上通過海峽兩岸經濟協議(ECFA)，大陸中央電視台今天在晨間新聞播出這項消息，並以新聞背景說明，ECFA生效後雙方可推動經貿團體和經貿主管機關互設辦事處。 央視新聞報導，台灣朝野對ECFA逐條討論達成共識,2010-08-15,"['ECFA', '新聞', '經貿', '通過', '海峽']"
74.朱立倫：協助周錫瑋爭取,針對行政院將沿用舊制，致新北市的統籌分配款僅得到440億元，台北縣統籌款在升格後將縮水180多億，民進黨新北市長參選人蔡英文批評對手朱立倫對新北市升格後短缺的180多億財源隻字未提。對此，國民黨新北市長參選人朱,2010-08-15,"['新北市', '180', '參選人', '升格', '針對']"
75.陸生來台 「一限二不」入法,【記者陳洛薇、楊湘鈞、羅印冲、郭安家╱台北報導】立法院臨時會朝野協商初步同意將「一限二不」入法，行政院長吳敦義昨天表示，行政部門支持「三限六不」部分入法，並稱讚民進黨「有很大的進步，很謝謝他,2010-08-15,"['入法', '記者', '洛薇', '楊湘鈞', '印冲']"
76.馬拉松審ECFA 最後像放錄音機,【記者羅印冲、郭安家、楊湘鈞、林河名╱台北報導】立法院昨天歷經十四小時馬拉松審查，處理ＥＣＦＡ及兩岸智財協議，相關的商標、專利、植物品種及種苗三項配套法案，朝野總共上演二十三次表決大戰（ＥＣ,2010-08-15,"['記者', '印冲', '楊湘鈞', '林河名', '報導']"
77.校長：限制打工可分範圍,陸生來台三法將於立法院臨時會通過，上午約40多名大專院校校長赴立法院關切，期盼陸生三法順利通過。中華民國國立大學校院協會理事長、中興大學校長蕭介夫表示，學術界大多可接受一限一不一國安，但可將限制打工範圍,2010-08-15,"['陸生', '通過', '校長', '立法院', '三法將']"
78.頂尖大學：陸生最快明春就可來,立法院臨時會今天審陸生三法，各大學對開放陸生來台紛紛表示歡迎。交通大學校長吳重雨表示，已與上海交大、清華與北京大學洽談，最快明年春天可招收雙聯學位的陸生，且以理工為主；成功大學也表示，已經簽訂姊妹校的,2010-08-15,"['大學', '臨時會', '審陸', '生三法', '各大學']"
79.一限一不一國安、不得打工,立法院臨時會今審查陸生三法，民進黨團宣稱朝野達成「一限一不一國安、不得打工」共識，即限制醫事學歷採認、不得報考公職、與涉及國安科系不開放陸生等。民進黨立法院黨團幹事長管碧玲表示，陸生三法在立院歷經兩年,2010-08-15,"['陸生', '民進', '黨團', '三法', '立法院']"
80.一限二不 吳清基：感覺多此一舉,立法院今天處理陸生來台三法，對於「三限六不」部分入法，教育部長吳清基上午在立法院受訪表示，相關法規已有規範，不入法也無影響，但若立法院認為此舉對某些人可有所交代，教育部表示尊重。被問及是否有多此一舉？,2010-08-15,"['立法院', '入法', '教育部', '處理', '陸生來']"
